Subfam Name	Subfam Composition	Subfam EC	Substrate	HMM Length	Target Name	Target Length	i-Evalue	HMM From	HMM To	Target From	Target To	Coverage	HMM File Name
CE4_e357	CE4:40	-	-	130	mRNA_5160	243	1.4619198354013667e-51	3	130	36	177	0.9846153846153848	dbCAN-sub
GH125_e2	GH125:180	-	alpha-mannan	423	mRNA_5169	539	9.026689247822544e-185	1	423	74	524	1.0	dbCAN-sub
AA4_e1	AA4:19	-	lignin	525	mRNA_5184	599	2.9302115620319225e-20	9	259	130	368	0.4780952380952381	dbCAN-sub
AA6_e0	AA6:425	1.6.5.6:3	lignin	196	mRNA_5195	203	2.233296774596773e-103	1	195	5	201	0.9948979591836736	dbCAN-sub
AA9_e11	AA9:6;CBM18:4	-	-	221	mRNA_532	378	5.906688283756829e-84	7	220	16	252	0.9683257918552036	dbCAN-sub
CBM67_e28	CBM67:192;GH78:190;CBM0:1;CBM66:1	3.2.1.40:1	rhamnose	186	mRNA_5345	935	1.077850041733022e-41	18	177	146	308	0.8602150537634409	dbCAN-sub
GH78_e80	GH78:1278;CBM67:96;GH3:3;GH0:2;GH18:2;CBM0:1	3.1.1.73:2;3.2.1.40:8	-;alpha-rhamnoside	510	mRNA_5345	935	2.0804937863579872e-196	2	508	336	879	0.9941176470588236	dbCAN-sub
GT62_e0	GT62:239;GT32:1	2.4.1.257:2;2.4.1.-:2	-;-	265	mRNA_5359	373	4.1622128093391647e-134	2	265	76	340	0.9962264150943396	dbCAN-sub
GH16_e109	GH16_1:39	-	-	230	mRNA_5363	355	1.5540214425158373e-93	1	229	62	298	0.9956521739130436	dbCAN-sub
GT34_e13	GT34:58	-	-	263	mRNA_5364	471	3.832945748366935e-152	1	263	171	433	1.0	dbCAN-sub
GT32_e71	GT32:6	-	-	83	mRNA_5379	530	1.2265544151664649e-17	38	83	317	362	0.5542168674698795	dbCAN-sub
CBM18_e20	CBM18:50;GH16_19:50	-	chitin	29	mRNA_5399	451	8.93887659889612e-17	2	29	28	55	0.9655172413793104	dbCAN-sub
GH16_e15	GH16_19:50;CBM18:49;GH16:1	-	-	168	mRNA_5399	451	2.8299099855570944e-86	3	168	109	273	0.988095238095238	dbCAN-sub
GT15_e5	GT15:335	-	-	328	mRNA_5406	507	3.688050660255366e-149	1	328	122	427	1.0	dbCAN-sub
AA9_e36	AA9:35;CBM1:18	1.14.99.54:3	cellulose	202	mRNA_5422	224	5.755473710189257e-95	3	202	12	210	0.99009900990099	dbCAN-sub
GT32_e76	GT32:47	-	-	85	mRNA_5424	526	4.848314056027509e-42	2	84	163	245	0.976470588235294	dbCAN-sub
CE1_e39	CE1:209;CBM2:144;CBM13:19;GH10:6;CBM1:6;CBM10:3;CBM3:2;GH62:1;CBM60:1;CE15:1	-	-	195	mRNA_5439	313	2.0048601584653167e-87	3	195	35	238	0.9897435897435898	dbCAN-sub
GH5_e137	GH5_5:216;CBM1:84;GH5:14;CBM10:2	3.2.1.4:38	beta-glucan	278	mRNA_5443	349	8.65087445522332e-137	1	278	50	327	1.0	dbCAN-sub
GT2	-	-	-	505	mRNA_545	1884	8.722129449597399e-249	2	504	1220	1718	0.996039603960396	dbCAN-sub
GT2	-	-	-	505	mRNA_546	1829	4.441286105945877e-252	2	503	1098	1598	0.994059405940594	dbCAN-sub
GH6_e20	GH6:222;CBM1:116;GH131:1	3.2.1.4:4;3.2.1.91:55	cellulose;cellulose	295	mRNA_549	398	1.5659242096736016e-116	2	295	70	359	0.9966101694915256	dbCAN-sub
GH18_e232	GH18:50;CBM18:35	3.2.1.14:2	chitin	350	mRNA_5497	1183	4.41603446423734e-171	1	348	117	464	0.9942857142857144	dbCAN-sub
CBM50_e959	CBM50:6;GH0:6	-	chitin	44	mRNA_5498	580	2.150450099808416e-16	1	44	513	556	1.0	dbCAN-sub
CE4_e177	CE4:5337	3.5.1.41:1	chitin	100	mRNA_5516	331	1.1094427579538228e-31	2	95	88	181	0.94	dbCAN-sub
GT33_e1	GT33:190	2.4.1.142:10;2.4.1.-:1	-;-	420	mRNA_5532	481	1.0043226975182517e-139	2	420	36	473	0.9976190476190476	dbCAN-sub
GT22_e1	GT22:290	2.4.1.259:12;2.4.1.261:12	-;-	402	mRNA_5540	614	6.032027979355957e-155	2	402	38	477	0.9975124378109452	dbCAN-sub
GT59_e2	GT59:60	-	-	472	mRNA_5552	802	4.014219093927921e-167	1	471	148	745	0.9978813559322034	dbCAN-sub
GH47_e5	GH47:259	3.2.1.113:7	host glycan	482	mRNA_5560	625	7.0276726060951145e-217	1	482	126	623	1.0	dbCAN-sub
GH92_e35	GH92:160	-	host glycan	510	mRNA_5584	827	1.4411965399369593e-261	1	509	287	809	0.9980392156862744	dbCAN-sub
GT3_e0	GT3:923	2.4.1.11:48	-	585	mRNA_559	704	9.575106002511104e-297	1	585	20	610	1.0	dbCAN-sub
GT15_e0	GT15:1224;GT71:1	2.4.1.131:20;2.4.1.-:1	-;-	271	mRNA_5597	429	1.4724594592812899e-133	2	271	109	378	0.996309963099631	dbCAN-sub
GT58_e1	GT58:249	2.4.1.258:10	-	363	mRNA_5609	485	2.171143821953812e-139	2	362	72	449	0.9944903581267218	dbCAN-sub
GH28_e27	GH28:86;CBM48:2;GH13_8:2;CBM1:1	3.2.1.171:11	pectin	309	mRNA_5612	441	3.182038723195019e-155	1	309	65	374	1.0	dbCAN-sub
GT92_e3	GT92:11	-	-	207	mRNA_5643	342	3.8923312885945024e-22	11	206	85	300	0.9468599033816424	dbCAN-sub
GH3_e32	GH3:167;GH134:1	3.2.1.21:10;3.2.1.37:4	beta-glucan;xylan	215	mRNA_5659	797	5.945220029492038e-107	1	215	89	303	1.0	dbCAN-sub
GT61_e19	GT61:14	-	-	120	mRNA_5664	419	6.3081926143977095e-43	1	119	166	291	0.9916666666666668	dbCAN-sub
GH7_e1	GH7:72;CBM1:39	3.2.1.4:18;3.2.1.73:1	cellulose;cellulose	391	mRNA_5676	468	6.991923328183955e-160	2	391	28	465	0.9974424552429668	dbCAN-sub
GH28_e58	GH28:220	3.2.1.67:7;3.2.1.-:2	pectin;pectin	352	mRNA_5694	461	6.222026651976491e-159	1	348	96	443	0.9886363636363636	dbCAN-sub
GH76_e8	GH76:104	3.2.1.101:1	alpha-mannan	373	mRNA_5697	468	2.72769849195527e-174	2	372	27	399	0.9946380697050938	dbCAN-sub
GH115_e0	GH115:692;GH3:1;CE15:1;CBM6:1;CE4:1	3.2.1.131:6	xylan	646	mRNA_5712	1102	3.4701312728437595e-246	2	645	38	1067	0.9969040247678018	dbCAN-sub
GH3_e185	GH3:9	-	-	213	mRNA_5900	865	7.816788080979973e-111	1	213	32	251	1.0	dbCAN-sub
GT15_e0	GT15:1224;GT71:1	2.4.1.131:20;2.4.1.-:1	-;-	271	mRNA_592	394	3.897987071317178e-126	2	270	76	352	0.992619926199262	dbCAN-sub
GH17_e33	GH17:51	3.2.1.-:1	-	236	mRNA_5954	593	2.421213593754713e-96	2	235	354	588	0.9915254237288136	dbCAN-sub
AA7_e3	AA7:11;CBM18:8	-	-	391	mRNA_5958	498	1.3279200020022127e-34	2	179	63	238	0.4552429667519181	dbCAN-sub
GH47_e5	GH47:259	3.2.1.113:7	host glycan	482	mRNA_5971	646	1.6144971621359109e-196	1	481	130	643	0.9979253112033196	dbCAN-sub
AA3_e3	AA3_3:147;AA3:1	1.1.3.13:12	lignin	597	mRNA_5980	666	6.391049686401663e-282	1	597	6	642	1.0	dbCAN-sub
AA2_e1	AA2:59	-	lignin	252	mRNA_6009	776	8.791394533076785e-18	3	110	62	175	0.4285714285714285	dbCAN-sub
GT2	-	-	-	505	mRNA_6023	1228	2.4558568139750257e-259	2	504	664	1185	0.996039603960396	dbCAN-sub
GH81_e0	GH81:460;CBM52:2	3.2.1.39:20	beta-glucan	684	mRNA_6066	784	2.2845139712025618e-216	7	684	35	778	0.9912280701754386	dbCAN-sub
GT41_e74	GT41:71	-	-	233	mRNA_6086	1865	5.776428834479123e-98	3	224	1579	1858	0.9527896995708156	dbCAN-sub
GT8_e149	GT8:79;GT90:1	2.4.1.186:3	-	215	mRNA_6091	720	9.233467762463357e-104	1	214	10	224	0.9953488372093025	dbCAN-sub
GH2_e61	GH2:894;CBM67:5;GH43_34:1;GH42:1	3.2.1.23:12	beta-galactan	827	mRNA_6122	1130	2.58623688888693e-273	18	823	47	1004	0.9746070133010882	dbCAN-sub
GH16_e179	GH16_22:7;CBM1:1	-	-	222	mRNA_6136	283	1.811193884914075e-81	2	212	36	249	0.9504504504504504	dbCAN-sub
CBM50_e1036	CBM50:123;GH18:116;CBM18:113;CBM24:4;CBM66:1	3.2.1.14:3	chitin	43	mRNA_6137	1482	1.8729401152044223e-16	2	43	314	355	0.9767441860465116	dbCAN-sub
CBM18_e13	CBM18:137;GH18:132;CBM50:113;CBM24:4;CBM66:1	3.2.1.14:3	chitin	48	mRNA_6137	1482	1.8172093922882552e-20	1	48	457	502	1.0	dbCAN-sub
GH18_e72	GH18:170;CBM18:132;CBM50:116;CBM24:5;CBM66:1	3.2.1.14:3	chitin	346	mRNA_6137	1482	6.536875892835531e-154	1	345	516	873	0.9971098265895952	dbCAN-sub
CE15_e15	CE15:7	3.1.1.-:1	-	315	mRNA_6144	96	4.518918165219845e-27	3	125	2	96	0.3904761904761905	dbCAN-sub
CE15_e15	CE15:7	3.1.1.-:1	-	315	mRNA_6145	152	3.4157582652224835e-45	186	315	1	122	0.4126984126984127	dbCAN-sub
GH28_e27	GH28:86;CBM48:2;GH13_8:2;CBM1:1	3.2.1.171:11	pectin	309	mRNA_616	457	8.71966349903456e-155	1	309	70	378	1.0	dbCAN-sub
GH2_e138	GH2:138;CBM35:1;GH27:1;GH152:1	3.2.1.25:3	beta-mannan	701	mRNA_6171	916	0.0	3	696	38	773	0.9900142653352354	dbCAN-sub
GT2	-	-	-	236	mRNA_6194	509	1.862101926246605e-135	1	236	70	308	1.0	dbCAN-sub
AA4_e0	AA4:39	1.1.3.38:1	lignin	535	mRNA_6200	627	2.066629255218835e-18	8	200	149	334	0.3607476635514018	dbCAN-sub
CE3_e3	CE3:9	-	-	194	mRNA_6219	174	1.2326666577791258e-22	96	180	86	170	0.4381443298969072	dbCAN-sub
GT22_e21	GT22:202	2.4.1.-:4	-	392	mRNA_6236	505	6.723857736473311e-156	12	392	1	383	0.971938775510204	dbCAN-sub
GT4_e3141	GT4:59	2.4.1.231:3	-	170	mRNA_6247	691	4.1138437151375366e-77	2	170	454	622	0.9941176470588236	dbCAN-sub
AA9_e7	AA9:29;CBM1:1	1.14.99.54:5;1.14.99.56:1	cellulose;cellulose	209	mRNA_631	230	2.1267081147309475e-99	2	209	7	216	0.9952153110047848	dbCAN-sub
GH3_e116	GH3:66	3.2.1.21:2	beta-glucan	213	mRNA_6311	834	8.190585350095852e-108	2	213	35	245	0.9953051643192488	dbCAN-sub
GH18_e169	GH18:87	3.2.1.96:2	host glycan	220	mRNA_6330	418	6.7752865176988035e-77	1	202	10	231	0.9181818181818182	dbCAN-sub
GH63_e12	GH63:799	3.2.1.106:25;3.2.1.-:4	host glycan;-	373	mRNA_6341	824	7.333038002343181e-133	1	371	425	811	0.9946380697050938	dbCAN-sub
GT21_e38	GT21:58	2.4.1.80:1	-	318	mRNA_6354	531	7.660540782880036e-123	1	318	76	371	1.0	dbCAN-sub
CE12_e43	CE12:53;CBM1:1	3.1.1.-:1	xylan	213	mRNA_636	268	1.3996741061927763e-85	1	213	19	235	1.0	dbCAN-sub
CE12_e61	CE12:23	-	-	194	mRNA_6360	400	4.0872959616557135e-55	1	194	143	352	1.0	dbCAN-sub
GH43_e63	GH43_26:13;GH43_30:1	-	-	281	mRNA_6383	383	2.301794853328864e-89	1	274	8	309	0.9750889679715302	dbCAN-sub
AA1_e46	AA1_3:109;CBM20:5;AA1:3	1.10.3.2:4;1.10.3.-:1	lignin;lignin	474	mRNA_6443	587	2.043920181561405e-167	1	473	55	536	0.9978902953586498	dbCAN-sub
GH7_e0	GH7:10573;CBM1:190	3.2.1.4:2;3.2.1.132:6;3.2.1.176:83	cellulose;chitosan;cellulose	435	mRNA_648	456	2.535043864608607e-214	1	434	20	452	0.9977011494252872	dbCAN-sub
AA1_e26	AA1_2:421;AA1:7	1.10.3.2:1	lignin	394	mRNA_6483	608	2.1425158844215132e-171	2	393	41	498	0.9949238578680204	dbCAN-sub
AA3_e46	AA3_1:59;AA8:53;CBM1:34	1.1.99.18:13	cellulose	546	mRNA_6541	637	9.185298562345062e-288	5	545	51	586	0.9908424908424908	dbCAN-sub
GH72_e0	GH72:449	2.4.1.-:26	beta-glucan	306	mRNA_6562	450	5.689200987122639e-140	2	305	38	334	0.9934640522875816	dbCAN-sub
GH36_e13	GH36:56	-	-	168	mRNA_6600	969	6.763178622740893e-62	1	166	419	595	0.988095238095238	dbCAN-sub
CE1_e38	CE1:175	-	-	268	mRNA_6609	295	1.2275866280483116e-20	4	206	27	248	0.7574626865671642	dbCAN-sub
AA3_e4	AA3_2:57;AA3:5	-	-	517	mRNA_6637	821	1.7135340612461788e-21	2	512	258	815	0.988394584139265	dbCAN-sub
GH125_e2	GH125:180	-	alpha-mannan	423	mRNA_6647	601	1.7570478504891623e-60	1	149	88	242	0.3522458628841607	dbCAN-sub
GH125_e2	GH125:180	-	alpha-mannan	423	mRNA_6647	601	6.6206928307706335e-78	252	423	417	587	0.4066193853427896	dbCAN-sub
GH92_e35	GH92:160	-	host glycan	510	mRNA_6652	880	2.3380846770829103e-236	1	509	324	862	0.9980392156862744	dbCAN-sub
GH55_e8	GH55:191;CBM50:9;CBM66:1	3.2.1.58:16	beta-glucan	748	mRNA_6653	769	1.8555575100394477e-256	5	632	17	674	0.839572192513369	dbCAN-sub
GT48_e0	GT48:3602	2.4.1.34:56	-	775	mRNA_6758	1944	0.0	2	773	873	1650	0.9961290322580644	dbCAN-sub
GH18_e94	GH18:45;CBM1:10;CBM19:6;GH31:1;CBM5:1	3.2.1.14:1	chitin	265	mRNA_6769	522	3.5620009854413356e-121	1	264	33	297	0.9962264150943396	dbCAN-sub
GH16_e87	GH16_3:52	3.2.1.6:2	beta-glucan	253	mRNA_6789	285	5.618717408376368e-110	1	251	34	281	0.9920948616600792	dbCAN-sub
GH128_e2	GH128:26	-	beta-glucan	238	mRNA_6791	326	4.374724129046861e-114	2	238	49	285	0.9957983193277312	dbCAN-sub
GH18_e161	CBM50:6;GH18:6	-	-	265	mRNA_6797	440	5.095318690347936e-80	1	262	6	264	0.9886792452830188	dbCAN-sub
GH72_e9	GH72:204	2.4.1.-:8	beta-glucan	318	mRNA_6892	478	4.451973628843979e-151	1	318	17	331	1.0	dbCAN-sub
AA4_e1	AA4:19	-	lignin	525	mRNA_6924	590	4.976916456016952e-17	7	252	120	357	0.4685714285714286	dbCAN-sub
AA9_e46	AA9:62;CBM1:16	1.14.99.54:4;1.14.99.56:2	cellulose;cellulose	224	mRNA_7022	343	1.998929690642093e-91	2	223	10	232	0.9910714285714286	dbCAN-sub
GH5_e261	GH5_9:63	3.2.1.58:2	beta-glucan	324	mRNA_7032	948	7.405609403589876e-167	1	324	583	907	1.0	dbCAN-sub
GH35_e22	GH35:23	-	-	335	mRNA_705	1048	6.993963468362693e-188	2	334	31	364	0.9940298507462688	dbCAN-sub
CBM67_e19	CBM67:5;GH35:5	-	rhamnose	159	mRNA_705	1048	2.987992067179269e-22	1	153	734	884	0.9622641509433962	dbCAN-sub
GH18_e20	GH18:235;GT1:1	3.2.1.14:25	chitin	353	mRNA_7095	402	9.44652584124143e-165	1	352	7	363	0.9971671388101984	dbCAN-sub
GH31_e95	GH31:63	-	-	488	mRNA_7114	886	1.0281349479719454e-241	1	488	248	738	1.0	dbCAN-sub
GT20_e0	GT20:733;CBM20:2	2.4.1.15:146	-	462	mRNA_7117	486	7.176558549047646e-224	2	461	14	479	0.9956709956709956	dbCAN-sub
AA1_e46	AA1_3:109;CBM20:5;AA1:3	1.10.3.2:4;1.10.3.-:1	lignin;lignin	474	mRNA_7135	646	8.417824602355884e-163	1	473	94	603	0.9978902953586498	dbCAN-sub
GH64_e2	GH64:14	-	beta-glucan	365	mRNA_7144	538	3.59931990111479e-67	163	365	1	250	0.5561643835616439	dbCAN-sub
CE9_e4	CE9:53	-	host glycan	385	mRNA_7153	489	1.1035836515056784e-176	1	383	32	445	0.9948051948051948	dbCAN-sub
GH3_e188	GH3:69	-	-	226	mRNA_7154	1069	4.61087968192406e-116	1	226	80	306	1.0	dbCAN-sub
GH3_e51	GH3:223	3.2.1.21:3	beta-glucan	214	mRNA_7160	854	1.2484363581242009e-110	1	214	33	245	1.0	dbCAN-sub
GH5_e102	GH5_16:32	3.2.1.164:1	arabinogalactan	333	mRNA_7161	422	5.410553811955717e-167	2	333	46	378	0.996996996996997	dbCAN-sub
GH5_e262	GH5_4:217;CBM46:111;CBM2:45;CBM1:7;GH5_25:2;GH5:2;GH74:1	3.2.1.4:4;3.2.1.-:12	beta-glucan;xylan	278	mRNA_7181	660	3.1954013892007648e-80	2	277	110	380	0.9928057553956836	dbCAN-sub
GT90_e11	GT90:72	-	-	290	mRNA_7187	635	4.968765498158239e-119	1	290	347	622	1.0	dbCAN-sub
GH35_e4	GH35:95;GH43_22:2	2.4.1.-:1;3.2.1.23:18	-;beta-galactan	332	mRNA_7248	1006	6.107052975629092e-150	2	332	47	382	0.9969879518072288	dbCAN-sub
CBM67_e19	CBM67:5;GH35:5	-	rhamnose	159	mRNA_7248	1006	3.102611808407438e-20	1	158	726	874	0.9937106918238994	dbCAN-sub
GT1_e24	GT1:283	2.4.1.173:13	-	409	mRNA_7253	1839	2.1989049743400213e-210	1	409	1306	1728	1.0	dbCAN-sub
GH94_e4	GH94:368	2.4.1.321:3	cellulose	735	mRNA_7274	794	0.0	1	734	49	789	0.998639455782313	dbCAN-sub
GT2	-	-	-	283	mRNA_7275	826	4.183804452146821e-142	1	281	304	585	0.9929328621908128	dbCAN-sub
GH27_e38	GH27:8	3.2.1.22:2	alpha-galactan	264	mRNA_7286	367	9.13889895687744e-30	135	241	196	302	0.4053030303030303	dbCAN-sub
AA1_e46	AA1_3:109;CBM20:5;AA1:3	1.10.3.2:4;1.10.3.-:1	lignin;lignin	474	mRNA_7298	378	2.8270732474667955e-86	146	474	1	338	0.6940928270042194	dbCAN-sub
GT20_e19	GT20:301	3.1.3.12:1	-	492	mRNA_7317	1032	1.0619396778510398e-223	2	491	145	685	0.9959349593495936	dbCAN-sub
GH78_e17	GH78:27;CBM32:3;CBM0:1	-	-	567	mRNA_7345	760	2.6991845304052407e-254	2	567	136	717	0.9982363315696648	dbCAN-sub
AA8_e5	AA8:93;AA3_1:86;CBM1:36	1.1.99.18:13	lignin	190	mRNA_7353	263	1.1817423531945995e-55	1	190	32	238	1.0	dbCAN-sub
GT2	-	-	-	246	mRNA_7354	321	6.053001506153102e-54	89	246	1	157	0.6422764227642277	dbCAN-sub
AA2_e12	AA2:15	-	lignin	241	mRNA_7355	289	1.8963912659013197e-77	9	240	7	268	0.9626556016597512	dbCAN-sub
GH3_e180	GH3:184	3.2.1.21:13	beta-glucan	210	mRNA_738	879	4.688964633676241e-106	1	210	93	305	1.0	dbCAN-sub
GH18_e82	GH18:18	3.2.1.96:4	host glycan	216	mRNA_7391	409	4.363260054163768e-85	2	205	66	277	0.9444444444444444	dbCAN-sub
GT1_e555	GT1:85	-	-	414	mRNA_7449	461	9.550870139291228e-79	1	410	19	455	0.9903381642512076	dbCAN-sub
GH10_e64	GH10:270;CBM1:72	3.2.1.8:45	xylan	294	mRNA_7466	330	2.5368860978149155e-145	2	294	35	328	0.9965986394557824	dbCAN-sub
GT90_e11	GT90:72	-	-	290	mRNA_7493	644	1.94042900646896e-122	1	290	344	625	1.0	dbCAN-sub
AA1_e46	AA1_3:109;CBM20:5;AA1:3	1.10.3.2:4;1.10.3.-:1	lignin;lignin	474	mRNA_7500	659	1.0217846604286155e-176	1	474	104	590	1.0	dbCAN-sub
GH131_e5	GH131:27;CBM1:14;GH6:1	3.2.1.-:3	-	240	mRNA_7556	258	1.6672706397820161e-134	1	240	18	256	1.0	dbCAN-sub
GH72_e10	GH72:47;CBM43:1	-	beta-glucan	279	mRNA_7588	451	1.850545407894177e-146	2	278	21	300	0.992831541218638	dbCAN-sub
CBM48_e32	CBM48:1020;GH13_8:992;GH13:3;GT4:2;GH28:2	2.4.1.18:166	alpha-glucan	89	mRNA_7686	690	2.0165972922300868e-32	1	88	64	150	0.9887640449438202	dbCAN-sub
GH13_e20	GH13_8:470;CBM48:339;GH13:16;GT4:1;GH28:1	2.4.1.18:50	alpha-glucan	293	mRNA_7686	690	6.413578816935202e-153	1	293	238	531	1.0	dbCAN-sub
GT2	-	-	-	283	mRNA_7691	880	6.561652036676329e-154	1	283	359	641	1.0	dbCAN-sub
GH12_e17	GH12:14	3.2.1.4:1	cellulose	143	mRNA_7692	473	3.9252137933470574e-47	3	143	332	472	0.986013986013986	dbCAN-sub
GH16_e291	GH16_22:8	-	-	215	mRNA_772	168	2.2828015592814633e-34	117	215	5	103	0.4604651162790698	dbCAN-sub
GH3_e116	GH3:66	3.2.1.21:2	beta-glucan	213	mRNA_7738	878	3.1670884236192154e-111	2	212	71	281	0.9906103286384976	dbCAN-sub
GT8_e176	GT8:75	-	-	267	mRNA_7824	336	2.425000948801318e-123	1	266	11	289	0.99625468164794	dbCAN-sub
GT62_e2	GT62:59	-	-	263	mRNA_7865	404	4.3589559899693787e-147	1	263	101	363	1.0	dbCAN-sub
PL1_e27	PL1_9:17;PL1:7;CBM66:4;CBM1:1	-	-	180	mRNA_7882	306	2.344663113713228e-82	1	180	62	242	1.0	dbCAN-sub
GH18_e318	GH18:10;CBM18:5	-	-	343	mRNA_7899	294	6.7517666662983926e-136	18	312	1	294	0.8600583090379009	dbCAN-sub
AA7_e0	AA7:17	1.1.3.-:1	xylan	417	mRNA_7952	513	1.4499011622414854e-38	11	179	65	232	0.4052757793764988	dbCAN-sub
AA2_e12	AA2:15	-	lignin	241	mRNA_7957	365	1.2882362622502246e-87	4	240	106	345	0.983402489626556	dbCAN-sub
GH16_e102	GH16_4:139;GH16_3:3;GH16:2;CBM39:2;GH128:1	3.2.1.39:7	beta-glucan	329	mRNA_7976	517	1.962573012105772e-119	1	329	178	504	1.0	dbCAN-sub
GH128_e8	GH128:8	-	beta-glucan	225	mRNA_7977	203	3.9787247152091206e-78	12	194	2	186	0.8133333333333334	dbCAN-sub
GH3_e147	GH3:84	3.2.1.21:4;3.2.1.-:5	beta-glucan;xyloglucan	221	mRNA_7979	816	2.9686081115163454e-119	1	221	103	323	1.0	dbCAN-sub
PL1_e16	PL1_4:141;PL1:4	4.2.2.10:25	pectin	185	mRNA_7980	371	5.6049396359392245e-96	1	185	109	292	1.0	dbCAN-sub
CE4_e119	CE4:30;GT2:26	-	-	120	mRNA_7999	319	2.824525094658705e-16	14	111	40	132	0.8166666666666667	dbCAN-sub
GH13_e153	GH13_25:126;GH133:119;CBM48:1;GH13:1	2.4.1.25:2;3.2.1.33:2	alpha-glucan;alpha-glucan	281	mRNA_8046	1575	7.110475870136442e-18	82	246	182	320	0.5871886120996441	dbCAN-sub
GH133_e0	GH133:332;GH13_25:326;CBM48:1	2.4.1.25:22;3.2.1.33:21	alpha-glucan;alpha-glucan	457	mRNA_8046	1575	1.914378312599784e-232	2	457	1099	1553	0.9978118161925602	dbCAN-sub
GH132_e2	GH132:7	-	beta-glucan	304	mRNA_81	470	2.458466303674149e-125	5	304	164	465	0.986842105263158	dbCAN-sub
GH76_e17	GH76:81	-	-	348	mRNA_8220	403	6.354413338915989e-126	4	348	29	396	0.9913793103448276	dbCAN-sub
GT2	-	-	-	289	mRNA_8245	898	5.2485506225431845e-185	1	288	256	543	0.9965397923875432	dbCAN-sub
GT24_e1	GT24:252	2.4.1.-:29	-	248	mRNA_8301	1531	7.515557271896384e-143	1	248	1212	1459	1.0	dbCAN-sub
GH47_e5	GH47:259	3.2.1.113:7	host glycan	482	mRNA_8324	1042	1.0691651475083528e-203	1	482	224	1041	1.0	dbCAN-sub
GH5_e145	GH5_12:344	3.2.1.21:3;3.2.1.45:1;3.2.1.104:1	polyphenol;glycolipid;glycolipid	543	mRNA_8326	880	5.324178696524577e-252	3	543	17	548	0.996316758747698	dbCAN-sub
GH3_e16	GH3:401	3.2.1.21:43;3.2.1.-:1	beta-glucan;xyloglucan	222	mRNA_8386	757	1.3440971569201017e-62	62	222	471	619	0.7252252252252253	dbCAN-sub
GH43_e150	GH43_24:46;CBM35:42;CBM13:1	3.2.1.145:1	arabinogalactan	233	mRNA_8404	442	2.1157621121319628e-123	2	232	46	277	0.9914163090128756	dbCAN-sub
CBM35_e44	CBM35:42;GH43_24:42	3.2.1.145:1	xylan	121	mRNA_8404	442	5.278795787628546e-31	3	120	322	438	0.975206611570248	dbCAN-sub
AA13_e0	AA13:35;CBM20:19	1.14.99.55:5	alpha-glucan	232	mRNA_8531	389	3.798233676192492e-136	1	232	18	249	1.0	dbCAN-sub
CBM20_e25	AA13:19;CBM20:19	1.14.99.55:4	alpha-glucan	91	mRNA_8531	389	1.3686398772538127e-46	1	90	290	379	0.989010989010989	dbCAN-sub
GH5_e89	GH5_7:92;CBM1:28	3.2.1.78:33	beta-mannan	274	mRNA_8548	601	7.631088337960169e-131	1	274	59	334	1.0	dbCAN-sub
GH32_e120	GH32:9	3.2.1.26:2	fructan	357	mRNA_8563	624	3.6365784836599915e-152	1	356	63	412	0.9971988795518208	dbCAN-sub
GT90_e20	GT90:65;GT8:1	-	-	272	mRNA_870	622	4.077289376825555e-133	1	272	339	612	1.0	dbCAN-sub
GH29_e66	GH29:6	-	host glycan	370	mRNA_928	805	8.039387315427883e-221	2	370	334	702	0.9972972972972972	dbCAN-sub
GT2	-	-	-	276	mRNA_973	916	1.4053008979186416e-74	1	170	223	390	0.6159420289855072	dbCAN-sub
GT2	-	-	-	276	mRNA_973	916	1.0697169388959256e-33	41	271	419	682	0.8369565217391305	dbCAN-sub
GT57_e1	GT57:340;GH2:1	2.4.1.265:13;2.4.1.-:9	-;-	483	mRNA_989	503	3.218563595110926e-214	2	483	18	496	0.9979296066252588	dbCAN-sub
