gene_id	protein_id	transcript_id	jgi_name	portal_id	seqid	start	end	strand	source	gff3_line	go_count	go_ids	go_names	go_types	kegg_count	kegg_ecnum	kegg_definition	kegg_catalyticactivity	kegg_cofactors	kegg_associateddiseases	kegg_pathway	kegg_pathway_class	kegg_pathway_type	has_go	has_kegg
gene_323	1978883	1979137	jgi.p|Ophnu1|1978883	Ophnu1	OphioH327chr_1	1240842	1243164	+	prediction	1897	3	GO:0003824; GO:0008152; GO:0030729	acetoacetate-CoA ligase activity; catalytic activity; metabolic process	biological_process; molecular_function	1	6.2.1.16	Acetoacetate--CoA ligase.	ATP + acetoacetate + CoA = AMP + diphosphate + acetoacetyl-CoA.	\N	\N	Butanoate metabolism	Carbohydrate Metabolism	METABOLIC	yes	yes
gene_324	1978884	1979138	jgi.p|Ophnu1|1978884	Ophnu1	OphioH327chr_1	1243468	1245876	-	prediction	1903	0				0									no	no
gene_325	1978885	1979139	jgi.p|Ophnu1|1978885	Ophnu1	OphioH327chr_1	1246822	1247722	-	prediction	1907	0				0									no	no
gene_326	1978886	1979140	jgi.p|Ophnu1|1978886	Ophnu1	OphioH327chr_1	1248075	1249551	-	prediction	1913	1	GO:0016491	oxidoreductase activity	molecular_function	0									yes	no
gene_327	1978887	1979141	jgi.p|Ophnu1|1978887	Ophnu1	OphioH327chr_1	1252407	1252984	+	prediction	1919	2	GO:0004602; GO:0006979	glutathione peroxidase activity; response to oxidative stress	biological_process; molecular_function	1	1.11.1.9	Glutathione peroxidase.	2 glutathione + H(2)O(2) = oxidized glutathione + 2 H(2)O.	Selenium.	Hemolytic anemia due to glutathione peroxidase deficiency; MIM:138320.	Glutathione metabolism	Metabolism of Other Amino Acids	METABOLIC	yes	yes
gene_328	1978888	1979142	jgi.p|Ophnu1|1978888	Ophnu1	OphioH327chr_1	1273113	1275917	+	prediction	1925	4	GO:0003700; GO:0005634; GO:0006355; GO:0008270	nucleus; regulation of transcription, DNA-dependent; transcription factor activity; zinc ion binding	biological_process; cellular_component; molecular_function	0									yes	no
gene_329	1978889	1979143	jgi.p|Ophnu1|1978889	Ophnu1	OphioH327chr_1	1277550	1278527	-	prediction	1931	2	GO:0008152; GO:0016829	lyase activity; metabolic process	biological_process; molecular_function	0									yes	no
gene_330	1978890	1979144	jgi.p|Ophnu1|1978890	Ophnu1	OphioH327chr_1	1280926	1282182	+	prediction	1935	17	GO:0000252; GO:0000253; GO:0004033; GO:0004448; GO:0004495; GO:0008875; GO:0016229; GO:0016491; GO:0018451; GO:0018452; GO:0018453; GO:0032442; GO:0033764; GO:0033765; GO:0043713; GO:0048258; GO:0051990	2-hydroxytetrahydrofuran dehydrogenase activity; 3-keto sterol reductase activity; 3-ketoglucose-reductase activity; 5-exo-hydroxycamphor dehydrogenase activity; (R)-2-hydroxyglutarate dehydrogenase activity; (R)-2-hydroxyisocaproate dehydrogenase activity; aldo-keto reductase activity; C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity; epoxide dehydrogenase activity; gluconate dehydrogenase activity; isocitrate dehydrogenase activity; mevaldate reductase activity; oxidoreductase activity; phenylcoumaran benzylic ether reductase activity; steroid dehydrogenase activity; steroid dehydrogenase activity, acting on the CH-CH group of donors; steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	molecular_function	12	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	\N	\N	\N	Ascorbate and aldarate metabolism; Benzoate degradation via CoA ligation; Bile acid biosynthesis; Butanoate metabolism; Fructose and mannose metabolism; Galactose metabolism; Glycerolipid metabolism; Glycine, serine and threonine metabolism; Lysine degradation; Nucleotide sugars metabolism; Tetrachloroethene degradation; Vitamin B6 metabolism	Amino Acid Metabolism; Biodegradation of Xenobiotics; Carbohydrate Metabolism; Lipid Metabolism; Metabolism of Cofactors and Vitamins; Metabolism of Complex Lipids; Nucleotide Metabolism	METABOLIC	yes	yes
gene_331	1978891	1979145	jgi.p|Ophnu1|1978891	Ophnu1	OphioH327chr_1	1282842	1283894	-	prediction	1939	0				0									no	no
gene_332	1978892	1979146	jgi.p|Ophnu1|1978892	Ophnu1	OphioH327chr_1	1286833	1288650	+	prediction	1945	0				0									no	no
gene_333	1978893	1979147	jgi.p|Ophnu1|1978893	Ophnu1	OphioH327chr_1	1289098	1294094	-	prediction	1949	0				0									no	no
gene_334	1978894	1979148	jgi.p|Ophnu1|1978894	Ophnu1	OphioH327chr_1	1297000	1298718	-	prediction	1957	3	GO:0003824; GO:0003860; GO:0008152	3-hydroxyisobutyryl-CoA hydrolase activity; catalytic activity; metabolic process	biological_process; molecular_function	3	3.1.2.4	3-hydroxyisobutyryl-CoA hydrolase.	3-hydroxy-2-methylpropanoyl-CoA + H(2)O = CoA + 3-hydroxy-2- methylpropanoate.	\N	\N	beta-Alanine metabolism; Propanoate metabolism; Valine, leucine and isoleucine degradation	Amino Acid Metabolism; Carbohydrate Metabolism; Metabolism of Other Amino Acids	METABOLIC	yes	yes
gene_335	1978895	1979149	jgi.p|Ophnu1|1978895	Ophnu1	OphioH327chr_1	1299439	1301241	-	prediction	1961	3	GO:0004371; GO:0005524; GO:0006071	ATP binding; glycerol metabolic process; glycerone kinase activity	biological_process; molecular_function	1	2.7.1.29	Glycerone kinase.	ATP + glycerone = ADP + glycerone phosphate.	\N	\N	Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC	yes	yes
gene_336	1978896	1979150	jgi.p|Ophnu1|1978896	Ophnu1	OphioH327chr_1	1302617	1307158	-	prediction	1965	2	GO:0003824; GO:0008496	catalytic activity; mannan endo-1,6-alpha-mannosidase activity	molecular_function	1	3.2.1.101	Mannan endo-1,6-beta-mannosidase.	Random hydrolysis of 1,6-beta-D-mannosidic linkages in unbranched 1,6-mannans.	\N	\N	\N	\N	\N	yes	yes
gene_337	1978897	1979151	jgi.p|Ophnu1|1978897	Ophnu1	OphioH327chr_1	1309635	1314918	+	prediction	1973	2	GO:0004221; GO:0006511	ubiquitin thiolesterase activity; ubiquitin-dependent protein catabolic process	biological_process; molecular_function	1	3.4.19.12	Ubiquitinyl hydrolase 1.	Thiol-dependent hydrolysis of ester, thiolester, amide, peptide and isopeptide bonds formed by the C-terminal Gly of ubiquitin (a 76-residue protein attached to proteins as an intracellular targeting signal).	\N	\N	\N	\N	\N	yes	yes
gene_338	1978898	1979152	jgi.p|Ophnu1|1978898	Ophnu1	OphioH327chr_1	1317185	1318585	+	prediction	1979	0				0									no	no
gene_339	1978899	1979153	jgi.p|Ophnu1|1978899	Ophnu1	OphioH327chr_1	1324389	1326459	+	prediction	1985	0				0									no	no
gene_340	1978900	1979154	jgi.p|Ophnu1|1978900	Ophnu1	OphioH327chr_1	1327542	1328769	+	prediction	1991	0				0									no	no
gene_341	1978901	1979155	jgi.p|Ophnu1|1978901	Ophnu1	OphioH327chr_1	1332088	1335320	+	prediction	1997	7	GO:0003677; GO:0003700; GO:0005634; GO:0006350; GO:0006355; GO:0008270; GO:0008869	DNA binding; galactonate dehydratase activity; nucleus; regulation of transcription, DNA-dependent; transcription; transcription factor activity; zinc ion binding	biological_process; cellular_component; molecular_function	1	4.2.1.6	Galactonate dehydratase.	D-galactonate = 2-dehydro-3-deoxy-D-galactonate + H(2)O.	\N	\N	Galactose metabolism	Carbohydrate Metabolism	METABOLIC	yes	yes
gene_342	1978902	1979156	jgi.p|Ophnu1|1978902	Ophnu1	OphioH327chr_1	1335993	1336964	+	prediction	2003	3	GO:0006631; GO:0008691; GO:0016491	3-hydroxybutyryl-CoA dehydrogenase activity; fatty acid metabolic process; oxidoreductase activity	biological_process; molecular_function	2	1.1.1.157	3-hydroxybutyryl-CoA dehydrogenase.	(S)-3-hydroxybutanoyl-CoA + NADP(+) = 3-acetoacetyl-CoA + NADPH.	\N	\N	Benzoate degradation via CoA ligation; Butanoate metabolism	Biodegradation of Xenobiotics; Carbohydrate Metabolism	METABOLIC	yes	yes
gene_343	1978903	1979157	jgi.p|Ophnu1|1978903	Ophnu1	OphioH327chr_1	1337651	1339626	+	prediction	2007	3	GO:0006820; GO:0015380; GO:0016021	anion exchanger activity; anion transport; integral to membrane	biological_process; cellular_component; molecular_function	0									yes	no
gene_344	1978904	1979158	jgi.p|Ophnu1|1978904	Ophnu1	OphioH327chr_1	1339780	1343759	-	prediction	2013	0				0									no	no
gene_345	1978905	1979159	jgi.p|Ophnu1|1978905	Ophnu1	OphioH327chr_1	1344541	1347495	+	prediction	2021	13	GO:0000166; GO:0004222; GO:0004249; GO:0005524; GO:0006508; GO:0008133; GO:0008270; GO:0008319; GO:0016020; GO:0016021; GO:0017111; GO:0030163; GO:0030402	ATP binding; collagenase activity; integral to membrane; matrilysin-2 activity; membrane; metalloendopeptidase activity; nucleoside-triphosphatase activity; nucleotide binding; prenyl protein specific endopeptidase activity; protein catabolic process; proteolysis; stromelysin 3 activity; zinc ion binding	biological_process; cellular_component; molecular_function	1	3.4.24.-	Metalloendopeptidases.	\N	\N	\N	\N	\N	\N	yes	yes
gene_346	1978906	1979160	jgi.p|Ophnu1|1978906	Ophnu1	OphioH327chr_1	1350139	1352549	-	prediction	2027	4	GO:0003700; GO:0005634; GO:0006355; GO:0043565	nucleus; regulation of transcription, DNA-dependent; sequence-specific DNA binding; transcription factor activity	biological_process; cellular_component; molecular_function	0									yes	no
gene_347	1978907	1979161	jgi.p|Ophnu1|1978907	Ophnu1	OphioH327chr_1	1361689	1362128	-	prediction	2037	0				0									no	no
gene_348	1978908	1979162	jgi.p|Ophnu1|1978908	Ophnu1	OphioH327chr_1	1362536	1363815	-	prediction	2045	4	GO:0003735; GO:0005622; GO:0005840; GO:0006412	intracellular; ribosome; structural constituent of ribosome; translation	biological_process; cellular_component; molecular_function	0									yes	no
gene_349	1978909	1979163	jgi.p|Ophnu1|1978909	Ophnu1	OphioH327chr_1	1364353	1365894	+	prediction	2051	0				0									no	no
gene_350	1978910	1979164	jgi.p|Ophnu1|1978910	Ophnu1	OphioH327chr_1	1366303	1370301	-	prediction	2055	2	GO:0005622; GO:0007165	intracellular; signal transduction	biological_process; cellular_component	0									yes	no
gene_351	1978911	1979165	jgi.p|Ophnu1|1978911	Ophnu1	OphioH327chr_1	1372251	1373311	-	prediction	2063	0				0									no	no
gene_352	1978912	1979166	jgi.p|Ophnu1|1978912	Ophnu1	OphioH327chr_1	1375234	1377293	+	prediction	2069	3	GO:0005319; GO:0005488; GO:0006869	binding; lipid transport; lipid transporter activity	biological_process; molecular_function	0									yes	no
gene_353	1978913	1979167	jgi.p|Ophnu1|1978913	Ophnu1	OphioH327chr_1	1378442	1379010	-	prediction	2083	8	GO:0004289; GO:0006508; GO:0008132; GO:0008236; GO:0008243; GO:0008991; GO:0016020; GO:0016808	membrane; pancreatic elastase activity; plasminogen activator activity; proprotein convertase activity; proteolysis; serine-type peptidase activity; serine-type signal peptidase activity; subtilase activity	biological_process; cellular_component; molecular_function	1	3.4.21.-	Serine endopeptidases.	\N	\N	\N	\N	\N	\N	yes	yes
gene_354	1978914	1979168	jgi.p|Ophnu1|1978914	Ophnu1	OphioH327chr_1	1379370	1380314	+	prediction	2089	0				0									no	no
gene_355	1978915	1979169	jgi.p|Ophnu1|1978915	Ophnu1	OphioH327chr_1	1381057	1382659	+	prediction	2093	1	GO:0044237	cellular metabolic process	biological_process	0									yes	no
gene_356	1978916	1979170	jgi.p|Ophnu1|1978916	Ophnu1	OphioH327chr_1	1383144	1383460	-	prediction	2099	0				0									no	no
gene_357	1978917	1979171	jgi.p|Ophnu1|1978917	Ophnu1	OphioH327chr_1	1384348	1387037	+	prediction	2105	0				0									no	no
gene_358	1978918	1979172	jgi.p|Ophnu1|1978918	Ophnu1	OphioH327chr_1	1387313	1388475	-	prediction	2111	2	GO:0005634; GO:0006334	nucleosome assembly; nucleus	biological_process; cellular_component	0									yes	no
gene_359	1978919	1979173	jgi.p|Ophnu1|1978919	Ophnu1	OphioH327chr_1	1389292	1390974	-	prediction	2117	1	GO:0006520	amino acid metabolic process	biological_process	0									yes	no
gene_360	1978920	1979174	jgi.p|Ophnu1|1978920	Ophnu1	OphioH327chr_1	1392269	1394473	-	prediction	2121	0				0									no	no
gene_361	1978921	1979175	jgi.p|Ophnu1|1978921	Ophnu1	OphioH327chr_1	1395834	1397939	+	prediction	2125	4	GO:0000159; GO:0005488; GO:0007165; GO:0008601	binding; protein phosphatase type 2A complex; protein phosphatase type 2A regulator activity; signal transduction	biological_process; cellular_component; molecular_function	0									yes	no
gene_362	1978922	1979176	jgi.p|Ophnu1|1978922	Ophnu1	OphioH327chr_1	1398888	1403096	-	prediction	2131	1	GO:0004437	inositol or phosphatidylinositol phosphatase activity	molecular_function	0									yes	no
gene_363	1978923	1979177	jgi.p|Ophnu1|1978923	Ophnu1	OphioH327chr_1	1405553	1407663	+	prediction	2137	0				0									no	no
gene_364	1978924	1979178	jgi.p|Ophnu1|1978924	Ophnu1	OphioH327chr_1	1408460	1409462	+	prediction	2151	3	GO:0008152; GO:0016491; GO:0050034	L-rhamnose 1-dehydrogenase activity; metabolic process; oxidoreductase activity	biological_process; molecular_function	1	1.1.1.173	L-rhamnose 1-dehydrogenase.	L-rhamnofuranose + NAD(+) = L-rhamno-1,4-lactone + NADH.	\N	\N	Fructose and mannose metabolism	Carbohydrate Metabolism	METABOLIC	yes	yes
gene_365	1978925	1979179	jgi.p|Ophnu1|1978925	Ophnu1	OphioH327chr_1	1409972	1410545	+	prediction	2159	0				0									no	no
gene_366	1978926	1979180	jgi.p|Ophnu1|1978926	Ophnu1	OphioH327chr_1	1411268	1413254	+	prediction	2167	0				0									no	no
gene_367	1978927	1979181	jgi.p|Ophnu1|1978927	Ophnu1	OphioH327chr_1	1413479	1416363	-	prediction	2173	2	GO:0006364; GO:0032040	rRNA processing; small subunit processome	biological_process; cellular_component	0									yes	no
gene_368	1978928	1979182	jgi.p|Ophnu1|1978928	Ophnu1	OphioH327chr_1	1417261	1418767	+	prediction	2181	2	GO:0005515; GO:0031105	protein binding; septin complex	cellular_component; molecular_function	0									yes	no
gene_369	1978929	1979183	jgi.p|Ophnu1|1978929	Ophnu1	OphioH327chr_1	1419608	1421248	-	prediction	2191	2	GO:0005524; GO:0047323	[3-methyl-2-oxobutanoate dehydrogenase (acetyl-transferring)] kinase activity; ATP binding	molecular_function	0									yes	no
gene_370	1978930	1979184	jgi.p|Ophnu1|1978930	Ophnu1	OphioH327chr_1	1424341	1428016	+	prediction	2197	2	GO:0004221; GO:0006511	ubiquitin thiolesterase activity; ubiquitin-dependent protein catabolic process	biological_process; molecular_function	1	3.4.19.12	Ubiquitinyl hydrolase 1.	Thiol-dependent hydrolysis of ester, thiolester, amide, peptide and isopeptide bonds formed by the C-terminal Gly of ubiquitin (a 76-residue protein attached to proteins as an intracellular targeting signal).	\N	\N	\N	\N	\N	yes	yes
gene_371	1978931	1979185	jgi.p|Ophnu1|1978931	Ophnu1	OphioH327chr_1	1428684	1429615	+	prediction	2207	3	GO:0005743; GO:0008565; GO:0015031	mitochondrial inner membrane; protein transport; protein transporter activity	biological_process; cellular_component; molecular_function	0									yes	no
gene_372	1978932	1979186	jgi.p|Ophnu1|1978932	Ophnu1	OphioH327chr_1	1430099	1431292	-	prediction	2213	2	GO:0004553; GO:0005975	carbohydrate metabolic process; hydrolase activity, hydrolyzing O-glycosyl compounds	biological_process; molecular_function	0									yes	no
gene_373	1978933	1979187	jgi.p|Ophnu1|1978933	Ophnu1	OphioH327chr_1	1434012	1436083	-	prediction	2219	1	GO:0005634	nucleus	cellular_component	0									yes	no
gene_374	1978934	1979188	jgi.p|Ophnu1|1978934	Ophnu1	OphioH327chr_1	1437094	1437788	-	prediction	2227	0				0									no	no
gene_375	1978935	1979189	jgi.p|Ophnu1|1978935	Ophnu1	OphioH327chr_1	1438866	1440872	+	prediction	2233	1	GO:0004035	alkaline phosphatase activity	molecular_function	3	3.1.3.1	Alkaline phosphatase.	An orthophosphoric monoester + H(2)O = an alcohol + phosphate.	Zinc; Magnesium.	Hypophosphatasia, adult; MIM:146300. Hypophosphatasia, childhood; MIM:241510. Hypophosphatasia, infantile; MIM:214500.	Folate biosynthesis; gamma-Hexachlorocyclohexane degradation; Glycerolipid metabolism	Biodegradation of Xenobiotics; Metabolism of Cofactors and Vitamins; Metabolism of Complex Lipids	METABOLIC	yes	yes
gene_376	1978936	1979190	jgi.p|Ophnu1|1978936	Ophnu1	OphioH327chr_1	1441347	1443920	-	prediction	2241	0				0									no	no
gene_377	1978937	1979191	jgi.p|Ophnu1|1978937	Ophnu1	OphioH327chr_1	1447403	1448942	+	prediction	2245	6	GO:0005506; GO:0006118; GO:0016491; GO:0031418; GO:0045329; GO:0050353	carnitine biosynthetic process; electron transport; iron ion binding; L-ascorbic acid binding; oxidoreductase activity; trimethyllysine dioxygenase activity	biological_process; molecular_function	1	1.14.11.8	Trimethyllysine dioxygenase.	N6,N6,N6-trimethyl-L-lysine + 2-oxoglutarate + O(2) = 3-hydroxy- N6,N6,N6-trimethyl-L-lysine + succinate + CO(2).	Iron; Ascorbate.	\N	Lysine degradation	Amino Acid Metabolism	METABOLIC	yes	yes
gene_378	1978938	1979192	jgi.p|Ophnu1|1978938	Ophnu1	OphioH327chr_1	1450690	1452556	+	prediction	2261	10	GO:0004721; GO:0004723; GO:0004724; GO:0005963; GO:0008420; GO:0008597; GO:0016787; GO:0017018; GO:0017020; GO:0017023	calcium-dependent protein serine/threonine phosphatase activity; calcium-dependent protein serine/threonine phosphatase regulator activity; CTD phosphatase activity; hydrolase activity; magnesium-dependent protein serine/threonine phosphatase activity; magnesium-dependent protein serine/threonine phosphatase complex; myosin phosphatase activity; myosin phosphatase complex; myosin phosphatase regulator activity; phosphoprotein phosphatase activity	cellular_component; molecular_function	1	3.1.3.16	Serine/threonine specific protein phosphatase.	A phosphoprotein + H(2)O = a protein + phosphate.	\N	\N	\N	\N	\N	yes	yes
gene_379	1978939	1979193	jgi.p|Ophnu1|1978939	Ophnu1	OphioH327chr_1	1452857	1454161	-	prediction	2269	2	GO:0004648; GO:0008152	metabolic process; phosphoserine transaminase activity	biological_process; molecular_function	2	2.6.1.52	Phosphoserine aminotransferase.	O-phospho-L-serine + 2-oxoglutarate = 3-phosphonooxypyruvate + L-glutamate.	Pyridoxal-phosphate.	\N	Glycine, serine and threonine metabolism; Vitamin B6 metabolism	Amino Acid Metabolism; Metabolism of Cofactors and Vitamins	METABOLIC	yes	yes
gene_380	1978940	1979194	jgi.p|Ophnu1|1978940	Ophnu1	OphioH327chr_1	1455388	1456740	+	prediction	2273	0				0									no	no
gene_381	1978941	1979195	jgi.p|Ophnu1|1978941	Ophnu1	OphioH327chr_1	1457608	1463475	-	prediction	2277	1	GO:0005524	ATP binding	molecular_function	0									yes	no
gene_382	1978942	1979196	jgi.p|Ophnu1|1978942	Ophnu1	OphioH327chr_1	1464484	1466426	-	prediction	2281	0				0									no	no
gene_383	1978943	1979197	jgi.p|Ophnu1|1978943	Ophnu1	OphioH327chr_1	1467072	1469018	+	prediction	2287	4	GO:0004672; GO:0004682; GO:0005524; GO:0006468	ATP binding; protein amino acid phosphorylation; protein kinase activity; protein kinase CK2 activity	biological_process; molecular_function	0									yes	no
gene_384	1978944	1979198	jgi.p|Ophnu1|1978944	Ophnu1	OphioH327chr_1	1469673	1470743	+	prediction	2291	1	GO:0003824	catalytic activity	molecular_function	0									yes	no
gene_385	1978945	1979199	jgi.p|Ophnu1|1978945	Ophnu1	OphioH327chr_1	1471276	1471718	-	prediction	2295	0				0									no	no
gene_386	1978946	1979200	jgi.p|Ophnu1|1978946	Ophnu1	OphioH327chr_1	1473385	1477581	+	prediction	2301	9	GO:0000287; GO:0004012; GO:0005524; GO:0006810; GO:0015662; GO:0015914; GO:0016020; GO:0016021; GO:0016820	ATP binding; ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism; hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances; integral to membrane; magnesium ion binding; membrane; phospholipid transport; phospholipid-translocating ATPase activity; transport	biological_process; cellular_component; molecular_function	1	3.6.3.1	Magnesium-ATPase.	ATP + H(2)O = ADP + phosphate.	Magnesium.	Progressive familial intrahepatic cholestasis; MIM:211600. Benign recurrent intrahepatic cholestasis; MIM:243300.	\N	\N	\N	yes	yes
gene_387	1978947	1979201	jgi.p|Ophnu1|1978947	Ophnu1	OphioH327chr_1	1480338	1481735	-	prediction	2307	0				0									no	no
gene_388	1978948	1979202	jgi.p|Ophnu1|1978948	Ophnu1	OphioH327chr_1	1489824	1492202	+	prediction	2311	3	GO:0003824; GO:0016491; GO:0050660	catalytic activity; FAD binding; oxidoreductase activity	molecular_function	0									yes	no
gene_389	1978949	1979203	jgi.p|Ophnu1|1978949	Ophnu1	OphioH327chr_1	1493815	1494876	-	prediction	2317	0				0									no	no
gene_390	1978950	1979204	jgi.p|Ophnu1|1978950	Ophnu1	OphioH327chr_1	1504215	1506532	-	prediction	2325	0				0									no	no
gene_391	1978951	1979205	jgi.p|Ophnu1|1978951	Ophnu1	OphioH327chr_1	1509754	1510908	+	prediction	2331	0				0									no	no
gene_392	1978952	1979206	jgi.p|Ophnu1|1978952	Ophnu1	OphioH327chr_1	1511127	1512086	-	prediction	2335	0				0									no	no
gene_393	1978953	1979207	jgi.p|Ophnu1|1978953	Ophnu1	OphioH327chr_1	1512528	1513443	+	prediction	2341	2	GO:0005634; GO:0006355	nucleus; regulation of transcription, DNA-dependent	biological_process; cellular_component	0									yes	no
gene_394	1978954	1979208	jgi.p|Ophnu1|1978954	Ophnu1	OphioH327chr_1	1518761	1521414	+	prediction	2347	2	GO:0004553; GO:0005975	carbohydrate metabolic process; hydrolase activity, hydrolyzing O-glycosyl compounds	biological_process; molecular_function	0									yes	no
gene_395	1978955	1979209	jgi.p|Ophnu1|1978955	Ophnu1	OphioH327chr_1	1522123	1523136	+	prediction	2353	3	GO:0004222; GO:0006508; GO:0016020	membrane; metalloendopeptidase activity; proteolysis	biological_process; cellular_component; molecular_function	0									yes	no
gene_396	1978956	1979210	jgi.p|Ophnu1|1978956	Ophnu1	OphioH327chr_1	1523437	1524364	-	prediction	2357	1	GO:0033961	cis-stilbene-oxide hydrolase activity	molecular_function	0									yes	no
gene_397	1978957	1979211	jgi.p|Ophnu1|1978957	Ophnu1	OphioH327chr_1	1525207	1526318	+	prediction	2363	5	GO:0003735; GO:0005622; GO:0005840; GO:0006412; GO:0008097	5S rRNA binding; intracellular; ribosome; structural constituent of ribosome; translation	biological_process; cellular_component; molecular_function	0									yes	no
gene_398	1978958	1979212	jgi.p|Ophnu1|1978958	Ophnu1	OphioH327chr_1	1530865	1534758	+	prediction	2371	0				0									no	no
gene_399	1978959	1979213	jgi.p|Ophnu1|1978959	Ophnu1	OphioH327chr_1	1539897	1540166	+	prediction	2379	0				0									no	no
gene_400	1978960	1979214	jgi.p|Ophnu1|1978960	Ophnu1	OphioH327chr_1	1541536	1542256	-	prediction	2383	2	GO:0020037; GO:0046914	heme binding; transition metal ion binding	molecular_function	0									yes	no
gene_401	1978961	1979215	jgi.p|Ophnu1|1978961	Ophnu1	OphioH327chr_1	1542994	1544799	+	prediction	2393	0				0									no	no
gene_402	1978962	1979216	jgi.p|Ophnu1|1978962	Ophnu1	OphioH327chr_1	1552797	1553864	+	prediction	2401	5	GO:0003700; GO:0005634; GO:0006355; GO:0043565; GO:0046983	nucleus; protein dimerization activity; regulation of transcription, DNA-dependent; sequence-specific DNA binding; transcription factor activity	biological_process; cellular_component; molecular_function	0									yes	no
gene_403	1978963	1979217	jgi.p|Ophnu1|1978963	Ophnu1	OphioH327chr_1	1562297	1565710	-	prediction	2405	0				0									no	no
gene_404	1978964	1979218	jgi.p|Ophnu1|1978964	Ophnu1	OphioH327chr_1	1569274	1572678	+	prediction	2411	3	GO:0003676; GO:0005622; GO:0008270	intracellular; nucleic acid binding; zinc ion binding	cellular_component; molecular_function	0									yes	no
gene_405	1978965	1979219	jgi.p|Ophnu1|1978965	Ophnu1	OphioH327chr_1	1581442	1583316	+	prediction	2423	3	GO:0003676; GO:0005622; GO:0008270	intracellular; nucleic acid binding; zinc ion binding	cellular_component; molecular_function	0									yes	no
gene_406	1978966	1979220	jgi.p|Ophnu1|1978966	Ophnu1	OphioH327chr_1	1584744	1585778	+	prediction	2427	3	GO:0008152; GO:0016491; GO:0032115	metabolic process; oxidoreductase activity; sorbose reductase activity	biological_process; molecular_function	0									yes	no
gene_407	1978967	1979221	jgi.p|Ophnu1|1978967	Ophnu1	OphioH327chr_1	1591645	1592715	+	prediction	2435	3	GO:0005488; GO:0005743; GO:0006810	binding; mitochondrial inner membrane; transport	biological_process; cellular_component; molecular_function	0									yes	no
gene_408	1978968	1979222	jgi.p|Ophnu1|1978968	Ophnu1	OphioH327chr_1	1593756	1598036	+	prediction	2441	4	GO:0003676; GO:0004527; GO:0004535; GO:0005622	exonuclease activity; intracellular; nucleic acid binding; poly(A)-specific ribonuclease activity	cellular_component; molecular_function	1	3.1.13.4	Poly(A)-specific ribonuclease.	Exonucleolytic cleavage of poly(A) to 5'-AMP.	\N	\N	\N	\N	\N	yes	yes
gene_409	1978969	1979223	jgi.p|Ophnu1|1978969	Ophnu1	OphioH327chr_1	1598602	1599364	-	prediction	2445	0				0									no	no
gene_410	1978970	1979224	jgi.p|Ophnu1|1978970	Ophnu1	OphioH327chr_1	1600957	1602169	-	prediction	2453	3	GO:0005488; GO:0005743; GO:0006810	binding; mitochondrial inner membrane; transport	biological_process; cellular_component; molecular_function	0									yes	no
gene_411	1978971	1979225	jgi.p|Ophnu1|1978971	Ophnu1	OphioH327chr_1	1605626	1607222	-	prediction	2463	1	GO:0003676	nucleic acid binding	molecular_function	0									yes	no
gene_412	1978972	1979226	jgi.p|Ophnu1|1978972	Ophnu1	OphioH327chr_1	1608311	1610665	-	prediction	2475	1	GO:0004772	sterol O-acyltransferase activity	molecular_function	1	2.3.1.26	Sterol O-acyltransferase.	Acyl-CoA + cholesterol = CoA + cholesterol ester.	\N	\N	Bile acid biosynthesis	Lipid Metabolism	METABOLIC	yes	yes
gene_413	1978973	1979227	jgi.p|Ophnu1|1978973	Ophnu1	OphioH327chr_1	1612485	1614504	-	prediction	2479	1	GO:0003779	actin binding	molecular_function	0									yes	no
gene_414	1978974	1979228	jgi.p|Ophnu1|1978974	Ophnu1	OphioH327chr_1	1616366	1617217	+	prediction	2485	2	GO:0005515; GO:0008270	protein binding; zinc ion binding	molecular_function	0									yes	no
gene_415	1978975	1979229	jgi.p|Ophnu1|1978975	Ophnu1	OphioH327chr_1	1617437	1620715	-	prediction	2491	1	GO:0046872	metal ion binding	molecular_function	0									yes	no
gene_416	1978976	1979230	jgi.p|Ophnu1|1978976	Ophnu1	OphioH327chr_1	1622296	1626853	+	prediction	2499	7	GO:0003677; GO:0003899; GO:0003900; GO:0003901; GO:0003902; GO:0006350; GO:0034062	DNA binding; DNA-directed RNA polymerase activity; DNA-directed RNA polymerase I activity; DNA-directed RNA polymerase II activity; DNA-directed RNA polymerase III activity; RNA polymerase activity; transcription	biological_process; molecular_function	3	2.7.7.6	DNA-directed RNA polymerase.	N nucleoside triphosphate = N diphosphate + {RNA}(N).	\N	\N	Purine metabolism; Pyrimidine metabolism; RNA polymerase	Nucleotide Metabolism; TRANSCRIPTION	METABOLIC; REGULATORY	yes	yes
gene_417	1978977	1979231	jgi.p|Ophnu1|1978977	Ophnu1	OphioH327chr_1	1627690	1630140	-	prediction	2507	0				0									no	no
gene_418	1978978	1979232	jgi.p|Ophnu1|1978978	Ophnu1	OphioH327chr_1	1635549	1636976	+	prediction	2513	0				0									no	no
