# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "4" "-p" "--countReadPairs" "-B" "-C" "-s" "1" "-t" "exon" "-g" "gene_id" "-a" "/home/alex/dual-rnaseq-elm-fungi/audit/strandedness/ophiostoma.gtf" "-o" "/home/alex/dual-rnaseq-elm-fungi/results/ophiostoma/gene_counts/ophiostoma_gene_featurecounts.txt" "/home/alex/rnaseq/03_alignment/ophiostoma_alignments/149_ophiostoma.sorted.bam" "/home/alex/rnaseq/03_alignment/ophiostoma_alignments/150_ophiostoma.sorted.bam" "/home/alex/rnaseq/03_alignment/ophiostoma_alignments/151_ophiostoma.sorted.bam" "/home/alex/rnaseq/03_alignment/ophiostoma_alignments/152_ophiostoma.sorted.bam" "/home/alex/rnaseq/03_alignment/ophiostoma_alignments/153_ophiostoma.sorted.bam" "/home/alex/rnaseq/03_alignment/ophiostoma_alignments/154_ophiostoma.sorted.bam" "/home/alex/rnaseq/03_alignment/ophiostoma_alignments/155_ophiostoma.sorted.bam" "/home/alex/rnaseq/03_alignment/ophiostoma_alignments/156_ophiostoma.sorted.bam" "/home/alex/rnaseq/03_alignment/ophiostoma_alignments/157_ophiostoma.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/alex/rnaseq/03_alignment/ophiostoma_alignments/149_ophiostoma.sorted.bam	/home/alex/rnaseq/03_alignment/ophiostoma_alignments/150_ophiostoma.sorted.bam	/home/alex/rnaseq/03_alignment/ophiostoma_alignments/151_ophiostoma.sorted.bam	/home/alex/rnaseq/03_alignment/ophiostoma_alignments/152_ophiostoma.sorted.bam	/home/alex/rnaseq/03_alignment/ophiostoma_alignments/153_ophiostoma.sorted.bam	/home/alex/rnaseq/03_alignment/ophiostoma_alignments/154_ophiostoma.sorted.bam	/home/alex/rnaseq/03_alignment/ophiostoma_alignments/155_ophiostoma.sorted.bam	/home/alex/rnaseq/03_alignment/ophiostoma_alignments/156_ophiostoma.sorted.bam	/home/alex/rnaseq/03_alignment/ophiostoma_alignments/157_ophiostoma.sorted.bam
gene_1347	OphioH327chr_1;OphioH327chr_1	5081406;5082919	5082866;5083032	-;-	1575	98	85	84	91	79	83	178	161	266
gene_1348	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	5083343;5083970;5084179	5083904;5084095;5084768	+;+;+	1278	289	211	277	201	164	319	476	707	827
gene_1349	OphioH327chr_1	5084816	5085421	-	606	366	343	326	605	428	600	673	1029	1109
gene_1350	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	5089795;5090247;5090372;5090579	5090172;5090316;5090520;5092657	+;+;+;+	2676	4227	4071	3398	4208	3443	8398	5228	5167	7452
gene_1351	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	5092918;5092991;5093682;5094161	5092938;5093625;5094097;5094507	-;-;-;-	1419	5160	4880	4210	3459	3073	6446	10008	10480	15447
gene_1352	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	5095349;5095464;5095687	5095403;5095625;5096123	-;-;-	654	424	469	387	501	373	888	1230	1402	1743
gene_1353	OphioH327chr_1	5096648	5097805	-	1158	409	534	494	420	350	473	660	1154	1214
gene_1354	OphioH327chr_1	5098473	5099768	+	1296	758	758	692	585	432	804	1358	1839	1906
gene_1355	OphioH327chr_1	5099998	5102481	-	2484	994	865	820	760	587	1495	2252	2403	3541
gene_1356	OphioH327chr_1	5104560	5106431	+	1872	1125	952	877	606	475	1141	3068	2998	4245
gene_1357	OphioH327chr_1;OphioH327chr_1	5106733;5109680	5109615;5109964	-;-	3168	977	930	814	4315	3347	7881	2323	2434	3592
gene_1358	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	5112219;5113235;5113670;5114410;5118133	5113156;5113609;5114353;5115177;5120473	-;-;-;-;-	5106	828	690	695	1205	945	2416	2898	2776	4145
gene_1359	OphioH327chr_1	5123704	5125557	-	1854	578	540	461	558	488	986	1713	1882	2585
gene_1360	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	5126632;5127851;5128118	5127783;5128047;5128370	-;-;-	1602	1329	1237	1047	1072	872	2321	1952	1662	2549
gene_1361	OphioH327chr_1;OphioH327chr_1	5134028;5134268	5134179;5134283	-;-	168	3	5	4	4	5	14	6	9	16
gene_1362	OphioH327chr_1	5134843	5137341	+	2499	772	774	759	1464	1142	1932	1778	2182	2994
gene_1363	OphioH327chr_1;OphioH327chr_1	5137883;5138860	5138791;5139111	-;-	1161	1021	1117	1053	997	877	1310	1980	2547	3115
gene_1364	OphioH327chr_1	5141367	5142278	-	912	2332	2207	1978	2025	1599	3617	4514	4930	6545
gene_1365	OphioH327chr_1;OphioH327chr_1	5143223;5143800	5143734;5143839	-;-	552	382	343	349	632	542	872	1039	1162	1418
gene_1366	OphioH327chr_1;OphioH327chr_1	5144328;5144428	5144362;5144722	+;+	330	1330	1226	1047	1334	971	2558	3816	3757	5473
gene_1367	OphioH327chr_1	5145379	5147499	-	2121	643	634	542	664	580	1224	1310	1515	2166
gene_1368	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	5148236;5148541;5148655;5148861	5148478;5148591;5148795;5148863	-;-;-;-	438	998	977	894	970	736	1468	2500	3162	3660
gene_1369	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	5149466;5150294;5150444;5150798	5150231;5150376;5150525;5150838	-;-;-;-	972	4575	4338	4077	3550	2936	5941	9052	9385	12871
gene_1370	OphioH327chr_1;OphioH327chr_1	5151705;5153895	5153837;5153939	-;-	2178	1578	1349	1228	1882	1478	3400	2682	2942	4467
gene_1371	OphioH327chr_1;OphioH327chr_1	5155476;5156313	5156243;5156954	+;+	1410	935	854	763	1196	1068	2794	3294	2991	4225
gene_1372	OphioH327chr_1;OphioH327chr_1	5157280;5157384	5157324;5158277	+;+	939	580	534	544	386	290	677	928	1102	1403
gene_1373	OphioH327chr_1	5158936	5161677	+	2742	4769	4552	3970	4134	3455	7137	5769	6534	9249
gene_1374	OphioH327chr_1	5162123	5163601	-	1479	559	548	606	615	522	780	771	1036	1292
gene_1375	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	5164119;5164191;5164565;5164803	5164163;5164210;5164747;5164881	+;+;+;+	327	3058	2773	2646	1966	1492	3623	7134	7216	8829
gene_1376	OphioH327chr_1;OphioH327chr_1	5172094;5172169	5172108;5173245	+;+	1092	159	150	132	67	63	177	307	362	488
gene_1377	OphioH327chr_1;OphioH327chr_1	5174059;5175524	5175460;5175540	-;-	1419	728	877	725	686	623	997	1383	1954	2237
gene_1378	OphioH327chr_1	5176316	5176867	+	552	658	637	606	553	426	795	1631	1838	1809
gene_1379	OphioH327chr_1	5178103	5178948	+	846	53	51	34	113	134	289	90	88	180
gene_1380	OphioH327chr_1;OphioH327chr_1	5181278;5181792	5181740;5181808	+;+	480	123	132	87	40	25	84	159	129	137
gene_1381	OphioH327chr_1	5184537	5185787	+	1251	810	777	594	944	654	1946	2669	2486	3663
gene_1382	OphioH327chr_1;OphioH327chr_1	5191118;5191514	5191451;5192409	+;+	1230	277	265	223	86	64	171	396	341	434
gene_1383	OphioH327chr_1;OphioH327chr_1	5193239;5193376	5193308;5194166	+;+	861	982	986	904	610	514	1033	1705	2179	2469
gene_1384	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	5194931;5195048;5201321	5194990;5201259;5201933	-;-;-	6885	2465	2362	2006	3112	2656	5715	5511	6971	10591
gene_1385	OphioH327chr_1;OphioH327chr_1	5206671;5207264	5207013;5211423	+;+	4503	1858	1667	1525	1944	1650	3694	3129	3725	5666
gene_1386	OphioH327chr_1;OphioH327chr_1	5212375;5212625	5212567;5212644	-;-	213	722	818	782	2329	1812	4202	5926	5737	6554
gene_1387	OphioH327chr_1;OphioH327chr_1	5215380;5215473	5215394;5218661	+;+	3204	13097	11764	10324	10515	7971	22226	42989	38974	58210
gene_1388	OphioH327chr_1	5219310	5221667	-	2358	1245	1180	1038	1385	1118	2410	3303	3584	4806
gene_1389	OphioH327chr_1;OphioH327chr_1	5227144;5228268	5228197;5229607	-;-	2394	880	848	761	808	620	1489	1785	1930	3110
gene_1390	OphioH327chr_1;OphioH327chr_1	5235070;5235237	5235140;5237295	+;+	2130	1001	1051	939	523	473	903	2195	2572	3336
gene_1391	OphioH327chr_1;OphioH327chr_1	5237644;5237971	5237915;5237998	-;-	300	780	747	696	31	34	73	428	616	643
gene_1392	OphioH327chr_1	5239695	5240225	+	531	93	90	104	59	46	122	207	339	336
gene_1393	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	5241131;5241595;5242297	5241531;5242039;5242443	+;+;+	993	819	797	767	702	608	1092	1796	2215	2700
gene_1394	OphioH327chr_1;OphioH327chr_1	5247666;5247818	5247682;5247887	-;-	87	91	75	89	32	25	68	329	323	375
gene_1395	OphioH327chr_1;OphioH327chr_1	5253484;5253732	5253641;5254608	+;+	1035	2165	2014	1750	695	624	1426	6309	6044	7962
gene_1396	OphioH327chr_1	5256340	5258295	-	1956	624	634	516	523	378	825	1340	1753	2211
gene_1397	OphioH327chr_1	5259223	5262063	-	2841	3085	3128	2819	1552	1480	2774	4465	5459	7338
gene_1398	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	5264192;5264608;5264827	5264540;5264672;5264868	-;-;-	456	2475	2218	1938	2331	1665	4304	5831	5838	8698
gene_1399	OphioH327chr_1;OphioH327chr_1	5266163;5266433	5266306;5267587	+;+	1299	3180	3289	3122	3180	2646	4975	6288	8267	9255
gene_1400	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	5270213;5270592;5270824;5271417	5270476;5270749;5271358;5272205	+;+;+;+	1746	4559	4152	3828	3633	3093	7388	9833	9325	14342
gene_1401	OphioH327chr_1;OphioH327chr_1	5272766;5273527	5273456;5273675	-;-	840	708	579	572	550	445	811	1514	1553	2122
gene_1402	OphioH327chr_1;OphioH327chr_1	5274640;5274982	5274717;5278638	+;+	3735	2974	2557	2317	2673	2102	4837	6622	6526	10638
gene_1403	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	5284568;5284976;5285100;5286433	5284903;5285000;5286366;5286508	+;+;+;+	1704	97	79	80	28	22	54	186	159	240
gene_1404	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	5296538;5296884;5297238;5303205	5296830;5297175;5303129;5303249	+;+;+;+	6522	1394	1165	1125	1091	1032	2004	3090	3485	4471
gene_1405	OphioH327chr_1	5308532	5309779	+	1248	19	7	11	1	0	2	40	13	32
gene_1406	OphioH327chr_1;OphioH327chr_1	5311896;5312007	5311933;5312778	-;-	810	540	462	455	12	18	18	289	509	485
gene_1407	OphioH327chr_1;OphioH327chr_1	5315187;5316686	5316620;5318581	-;-	3330	103	110	104	60	71	139	191	294	250
gene_1408	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	5331588;5331751;5331946;5332056;5332422	5331684;5331887;5332000;5332336;5332517	-;-;-;-;-	666	304	282	202	420	338	788	681	753	817
gene_1409	OphioH327chr_1	5333017	5335860	+	2844	427	424	395	239	205	290	700	1019	1203
gene_1410	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	5337641;5337748;5337918	5337676;5337824;5340975	+;+;+	3171	1293	1300	1151	1126	956	1721	2203	2760	3614
gene_1411	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	5341275;5342204;5342354	5342152;5342291;5342539	-;-;-	1152	923	874	762	1164	919	1570	2470	2788	3787
gene_1412	OphioH327chr_1	5343364	5343840	+	477	391	346	340	352	317	619	728	720	1008
gene_1413	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	5345807;5346070;5346302	5346014;5346247;5346683	+;+;+	768	3770	3704	3374	3864	3369	6065	4588	5720	7268
gene_1414	OphioH327chr_1	5357115	5361404	+	4290	1860	1596	1522	1496	1148	2746	3372	3861	6042
gene_1415	OphioH327chr_1;OphioH327chr_1	5361998;5362811	5362755;5362889	-;-	837	368	390	294	713	565	1405	519	436	555
gene_1416	OphioH327chr_1;OphioH327chr_1	5364649;5364759	5364693;5365208	+;+	495	629	566	534	1401	1140	2830	1529	1565	2188
gene_1417	OphioH327chr_1;OphioH327chr_1	5367453;5368435	5368363;5368591	+;+	1068	20418	20938	21299	88984	77858	97515	5294	8327	7877
gene_1418	OphioH327chr_1	5369099	5370079	+	981	711	630	634	1018	750	1778	1505	1658	2045
gene_1419	OphioH327chr_1;OphioH327chr_1	5371258;5375208	5375137;5377003	-;-	5676	1066	1056	942	1438	1228	2112	1892	2766	3500
gene_1420	OphioH327chr_1;OphioH327chr_1	5390047;5390868	5390810;5391078	-;-	975	505	491	448	1102	888	1834	1844	1938	2713
gene_1421	OphioH327chr_1;OphioH327chr_1	5391489;5391836	5391751;5393267	+;+	1695	492	496	485	909	747	1128	929	1470	1655
gene_1422	OphioH327chr_1;OphioH327chr_1	5396904;5397371	5397317;5399221	+;+	2265	913	912	855	1248	1021	2049	2330	2660	3682
gene_1423	OphioH327chr_1	5402971	5406597	+	3627	2336	2076	1883	1068	865	1936	3795	4269	5753
gene_1424	OphioH327chr_1;OphioH327chr_1	5407426;5410258	5410198;5410454	-;-	2970	1046	976	904	969	813	1687	2560	2696	3836
gene_1425	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	5411322;5411625;5411990;5412175	5411547;5411908;5412101;5413064	+;+;+;+	1512	1506	1368	1244	2202	1604	3947	3839	3806	5616
gene_1426	OphioH327chr_1;OphioH327chr_1	5414526;5417966	5417905;5419124	+;+	4539	1326	1176	1133	867	686	1277	2449	2857	4383
gene_1427	OphioH327chr_1	5419785	5420894	+	1110	1184	1111	1089	2650	2224	4148	1307	1700	1716
gene_1428	OphioH327chr_1;OphioH327chr_1	5421139;5421329	5421270;5422243	+;+	1047	556	459	442	1117	870	2097	992	997	1373
gene_1429	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	5422531;5424185;5424834;5424975	5424132;5424762;5424912;5425565	-;-;-;-	2850	0	0	0	1	5	1	5	7	9
gene_1430	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	5435081;5435210;5435504;5436006	5435162;5435452;5435937;5436272	+;+;+;+	1026	9	6	5	7	7	21	4	18	31
gene_1431	OphioH327chr_1;OphioH327chr_1	5436453;5436528	5436470;5436995	-;-	486	1	0	3	1	1	0	8	5	5
gene_1432	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	5439525;5440212;5440350	5440140;5440293;5440452	+;+;+	801	1022	949	850	574	513	1210	2188	2159	3091
gene_1433	OphioH327chr_1;OphioH327chr_1	5441288;5444998	5444929;5445177	-;-	3822	1060	953	842	984	750	1866	2112	2324	3144
gene_1434	OphioH327chr_1;OphioH327chr_1	5450810;5451343	5451144;5452993	+;+	1986	655	626	624	559	521	873	1521	1865	2095
gene_1435	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	5453482;5453904;5454539	5453845;5453986;5454700	-;-;-	609	7180	6421	6465	7023	5935	10841	14006	16850	22889
gene_1436	OphioH327chr_1;OphioH327chr_1	5455418;5456374	5456295;5456578	-;-	1083	480	435	475	332	244	359	1123	1707	1660
gene_1437	OphioH327chr_1;OphioH327chr_1	5459428;5459553	5459492;5460984	+;+	1497	1904	1888	1844	2428	1918	3487	3046	3481	4631
gene_1438	OphioH327chr_1	5467414	5467857	+	444	35	20	24	35	37	95	92	79	144
gene_1439	OphioH327chr_1;OphioH327chr_1	5468944;5469630	5469565;5471635	+;+	2628	956	935	788	3429	2783	6599	6543	6792	10126
gene_1440	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	5471984;5480291;5480432;5480578	5480172;5480348;5480518;5480760	-;-;-;-	8517	5399	4826	4269	1781	1650	3507	6898	8399	12779
gene_1441	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	5489010;5489494;5489615	5489428;5489562;5489729	-;-;-	603	1227	1139	948	1015	912	2800	4585	4227	5491
gene_1442	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	5493097;5494515;5494698	5494455;5494644;5496106	+;+;+	2898	5856	5267	4690	4818	3779	10544	15375	14140	22238
gene_1443	OphioH327chr_1	5496716	5497819	-	1104	468	472	406	927	737	1540	1344	1501	1867
gene_1444	OphioH327chr_1	5500975	5501907	-	933	1	0	1	0	1	2	0	2	2
gene_1445	OphioH327chr_1	5502354	5504156	+	1803	13	11	11	18	17	43	52	54	42
gene_1446	OphioH327chr_1;OphioH327chr_1	5504870;5505042	5504954;5505163	+;+	207	3	4	4	3	3	11	9	17	17
gene_1447	OphioH327chr_1	5506351	5508039	+	1689	182	217	168	148	131	248	252	286	401
gene_1448	OphioH327chr_1;OphioH327chr_1	5508214;5508521	5508465;5508658	-;-	390	721	646	622	334	294	613	1735	2199	2439
gene_1449	OphioH327chr_1	5509124	5509522	-	399	6	4	2	13	9	12	9	15	14
gene_1450	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	5511139;5511913;5512232	5511857;5512158;5512271	-;-;-	1005	432	421	357	878	693	1518	114	154	155
gene_1451	OphioH327chr_1	5513949	5516324	-	2376	1181	1091	982	1155	933	2274	2911	3013	4920
gene_1452	OphioH327chr_1;OphioH327chr_1	5518518;5518591	5518530;5518928	+;+	351	5	12	12	3	10	15	18	36	11
gene_1453	OphioH327chr_1	5520778	5523087	-	2310	796	776	688	861	689	1806	2296	2107	3473
gene_1454	OphioH327chr_1	5526989	5528107	-	1119	108	116	85	98	87	146	256	302	393
gene_1455	OphioH327chr_1	5529127	5529393	-	267	407	325	340	210	148	473	1007	1115	1758
gene_1456	OphioH327chr_1;OphioH327chr_1	5533007;5533403	5533340;5533854	+;+	786	4	4	7	11	3	10	53	35	59
gene_1457	OphioH327chr_1	5535807	5536895	+	1089	669	614	555	210	169	423	986	905	1307
gene_1458	OphioH327chr_1	5540557	5545029	+	4473	539	504	409	592	398	1088	1078	1248	1999
gene_1459	OphioH327chr_1	5545441	5545746	+	306	2	1	2	4	2	2	9	8	7
gene_1460	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	5547246;5547605;5547812	5547559;5547737;5548138	+;+;+	774	7756	7037	6115	8832	7058	18474	39825	36991	51226
gene_1461	OphioH327chr_1	5548170	5549267	-	1098	308	279	274	158	152	232	648	919	980
gene_1462	OphioH327chr_1;OphioH327chr_1	5549845;5552730	5552666;5553426	-;-	3519	2758	2507	2245	1235	1041	2564	8634	8350	12052
gene_1463	OphioH327chr_1	5558690	5560291	+	1602	83	89	89	80	48	206	451	418	594
gene_1464	OphioH327chr_1	5560387	5561916	-	1530	235	241	226	338	244	546	931	1180	1297
gene_1465	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	5563932;5564190;5564411;5564579	5564123;5564283;5564513;5564627	+;+;+;+	438	0	0	0	5	1	7	6	3	24
gene_1466	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	5564676;5565458;5565866	5565399;5565806;5566016	+;+;+	1224	0	0	0	15	13	17	25	53	20
gene_1467	OphioH327chr_1;OphioH327chr_1	5566737;5566838	5566782;5567301	+;+	510	404	400	408	413	326	683	1236	1452	1529
gene_1468	OphioH327chr_1	5567770	5569395	-	1626	1930	1713	1501	1935	1445	3790	5417	4774	7329
gene_1469	OphioH327chr_1	5571336	5575502	-	4167	37	32	28	18	14	15	55	42	47
gene_1470	OphioH327chr_1	5579029	5579343	+	315	262	240	230	112	121	262	690	732	1077
gene_1471	OphioH327chr_1	5581171	5582088	+	918	234	206	210	687	554	1201	2225	2076	2828
gene_1472	OphioH327chr_1;OphioH327chr_1	5584109;5584339	5584273;5584938	+;+	765	2820	2560	2413	9286	6916	16634	14509	14897	20362
gene_1473	OphioH327chr_1;OphioH327chr_1	5585568;5588728	5588033;5588853	-;-	2592	14	26	13	31	27	55	81	60	81
gene_1474	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	5589257;5589376;5589571	5589304;5589520;5591072	-;-;-	1695	9	9	5	12	16	62	113	89	146
gene_1475	OphioH327chr_1;OphioH327chr_1	5591633;5592501	5592448;5592572	+;+	888	19	23	21	26	34	67	168	164	158
gene_1476	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	5593249;5593497;5594337	5593411;5594280;5595042	+;+;+	1653	7	8	6	17	8	22	133	150	175
gene_1477	OphioH327chr_1;OphioH327chr_1	5596828;5597252	5597197;5597997	+;+	1116	2	1	1	1	0	2	0	6	3
gene_1478	OphioH327chr_1	5598957	5600726	-	1770	592	502	460	445	382	885	1697	1628	2300
gene_1479	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	5601763;5602113;5602993	5602032;5602929;5603375	+;+;+	1470	277	235	186	302	226	616	1410	1125	1615
gene_1480	OphioH327chr_1	5603533	5605005	-	1473	79	65	57	3	1	0	5	8	15
gene_1481	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	5605393;5605530;5606456;5606591	5605478;5606392;5606534;5607032	-;-;-;-	1470	1	0	1	1	0	0	2	2	0
gene_1482	OphioH327chr_1;OphioH327chr_1	5608065;5609460	5609396;5609816	-;-	1689	10	11	4	19	10	30	32	14	37
gene_1483	OphioH327chr_1	5610392	5613148	+	2757	7	4	5	2	3	0	2	4	6
gene_1484	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	5614005;5614607;5615288	5614544;5615217;5615801	+;+;+	1665	427	403	356	342	236	545	1574	1665	2238
gene_1485	OphioH327chr_1;OphioH327chr_1	5617891;5618849	5618791;5619096	+;+	1149	1	1	2	0	1	0	2	0	1
gene_1486	OphioH327chr_1;OphioH327chr_1	5619213;5620224	5620177;5620428	-;-	1170	318	286	279	390	252	634	1204	1155	1722
gene_1487	OphioH327chr_1	5622941	5624140	+	1200	210	194	171	166	129	294	448	580	891
gene_1488	OphioH327chr_1	5624708	5627434	-	2727	306	269	287	470	350	504	540	721	737
gene_1489	OphioH327chr_1	5627934	5629757	-	1824	309	334	299	300	269	557	552	739	1030
gene_1490	OphioH327chr_1	5633673	5635424	+	1752	3808	3483	3314	1179	1029	2110	3778	4350	5866
gene_1491	OphioH327chr_1;OphioH327chr_1	5635726;5637068	5637017;5637089	-;-	1314	19	11	27	27	30	24	101	122	134
gene_1492	OphioH327chr_1	5637806	5639731	+	1926	25	37	40	35	21	55	78	118	147
gene_1493	OphioH327chr_1;OphioH327chr_1	5640019;5642933	5642753;5643143	-;-	2946	1262	1107	982	635	486	1157	2380	2600	3851
gene_1494	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	5643992;5644294;5644471	5644229;5644412;5645448	+;+;+	1335	1938	1901	1863	1355	1147	1611	3068	5173	4711
gene_1495	OphioH327chr_1	5648767	5650392	+	1626	32	31	30	91	94	193	241	230	328
gene_1496	OphioH327chr_1;OphioH327chr_1	5653000;5653691	5653368;5654860	+;+	1539	657	600	576	863	762	1320	1233	1676	2260
gene_1497	OphioH327chr_1	5658217	5660100	+	1884	72	90	84	1	7	7	47	93	105
gene_1498	OphioH327chr_1	5660297	5662618	-	2322	2277	2306	2151	3520	2785	4772	2168	2916	3835
gene_1499	OphioH327chr_1	5663613	5665136	-	1524	267	259	263	431	331	813	934	984	1223
gene_1500	OphioH327chr_1	5666998	5668827	+	1830	43	34	36	52	36	102	143	148	260
gene_1501	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	5668918;5669046;5669260	5668994;5669213;5669803	-;-;-	789	347	360	333	391	354	812	409	427	524
gene_1502	OphioH327chr_1;OphioH327chr_1	5671700;5671902	5671839;5674425	+;+	2664	8165	7961	7488	12810	10676	20659	5656	7382	9789
gene_1503	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	5674930;5675156;5675284	5675083;5675214;5675697	+;+;+	627	5188	4752	4610	2718	2133	3867	7213	8520	10259
gene_1504	OphioH327chr_1;OphioH327chr_1	5676187;5676465	5676264;5676731	+;+	345	58	40	54	39	22	91	144	98	185
gene_1505	OphioH327chr_1	5677474	5679333	+	1860	16251	16244	14831	8493	6767	13140	22828	28409	33942
gene_1506	OphioH327chr_1;OphioH327chr_1	5680011;5680345	5680286;5681862	+;+	1794	6	13	10	8	11	7	13	5	16
gene_1507	OphioH327chr_1;OphioH327chr_1	5683030;5684248	5684183;5684851	-;-	1758	492	421	378	659	521	1185	1223	1308	1651
gene_1508	OphioH327chr_1	5685696	5686649	+	954	118	105	88	98	94	268	294	256	359
gene_1509	OphioH327chr_1	5688189	5689544	+	1356	9	11	9	8	10	18	24	30	46
gene_1510	OphioH327chr_1	5691215	5692825	+	1611	83	72	66	186	140	316	263	326	464
gene_1511	OphioH327chr_1	5693829	5695466	+	1638	2419	2395	2179	2134	1751	3604	3046	3800	5407
gene_1512	OphioH327chr_1;OphioH327chr_1	5695675;5695814	5695764;5696317	-;-	594	40	24	28	2	1	0	12	12	39
gene_1513	OphioH327chr_1	5696836	5698530	-	1695	761	753	722	557	443	1014	1111	1211	1585
gene_1514	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	5702175;5702460;5702876;5703033;5703395	5702405;5702817;5702983;5703339;5703692	+;+;+;+;+	1302	2416	2261	2040	381	301	626	2879	3330	4638
gene_1515	OphioH327chr_1;OphioH327chr_1	5704678;5705204	5704863;5705887	+;+	870	2	5	4	8	9	27	15	16	32
gene_1516	OphioH327chr_1	5713305	5715281	+	1977	11446	10759	10204	2605	2132	3804	8161	10505	14130
gene_1517	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	5716132;5716225;5716306;5716476;5716630	5716173;5716257;5716421;5716577;5718460	+;+;+;+;+	2124	173	178	145	403	358	701	488	454	649
gene_1518	OphioH327chr_1	5718567	5720303	-	1737	2	1	6	4	0	1	8	7	7
gene_1519	OphioH327chr_1;OphioH327chr_1	5721874;5725262	5724889;5725398	-;-	3153	22082	20530	18560	16034	13018	27854	33695	38718	58569
gene_1520	OphioH327chr_1	5729508	5730425	+	918	340	355	323	296	204	454	800	808	1060
gene_1521	OphioH327chr_1;OphioH327chr_1	5730637;5732794	5732729;5733247	-;-	2547	445	384	299	234	192	459	637	690	1086
gene_1522	OphioH327chr_1	5737029	5738384	-	1356	626	646	630	634	574	822	1108	1517	1922
gene_1523	OphioH327chr_1;OphioH327chr_1	5739502;5740050	5740000;5740465	+;+	915	163	118	123	71	60	170	476	460	711
gene_1524	OphioH327chr_1	5740866	5741636	-	771	18975	17032	15634	16216	12829	31767	59121	58039	76028
gene_1525	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	5742664;5743082;5743544	5743027;5743477;5743773	+;+;+	990	21552	19423	17431	16820	13723	33735	70304	70261	90006
gene_1526	OphioH327chr_1;OphioH327chr_1	5744035;5744393	5744347;5744901	-;-	822	23011	20604	18920	12032	9864	25769	62579	59730	75960
gene_1527	OphioH327chr_1	5747460	5747978	-	519	35759	34263	33427	20131	18888	32711	68527	84405	96003
gene_1528	OphioH327chr_1;OphioH327chr_1	5749237;5749841	5749770;5750035	+;+	729	33134	31168	28884	22187	20039	38760	97866	114855	123743
gene_1529	OphioH327chr_1;OphioH327chr_1	5751619;5751915	5751862;5752021	+;+	351	26	22	25	18	16	55	120	130	147
gene_1530	OphioH327chr_1;OphioH327chr_1	5752298;5752698	5752649;5753359	-;-	1014	936	900	844	1474	1208	2894	2933	3172	4093
gene_1531	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	5754260;5755410;5755638;5755726	5755359;5755586;5755674;5755953	-;-;-;-	1542	58	57	58	17	12	33	93	60	132
